((NUW-APP))               N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N047.54.51.509 W122.06.33.160 N047.54.52.874 W122.06.26.447 RVM
                          N047.54.52.874 W122.06.26.447 N047.54.53.335 W122.06.19.466 RVM
                          N047.54.53.335 W122.06.19.466 N047.55.05.327 W122.06.19.466 RVM
                          N047.54.29.349 W122.05.43.686 N047.54.29.348 W122.05.25.797 RVM
                          N047.54.05.367 W122.06.19.466 N047.53.53.375 W122.06.19.466 RVM
                          N047.54.29.349 W122.06.55.246 N047.54.29.348 W122.07.13.135 RVM
    ; W16
                          N047.52.40.893 W121.59.42.878 N047.52.40.432 W121.59.35.902 RVM
                          N047.52.40.432 W121.59.35.902 N047.52.39.067 W121.59.29.194 RVM
                          N047.52.39.067 W121.59.29.194 N047.52.36.850 W121.59.23.012 RVM
                          N047.52.36.850 W121.59.23.012 N047.52.33.867 W121.59.17.594 RVM
                          N047.52.33.867 W121.59.17.594 N047.52.30.233 W121.59.13.147 RVM
                          N047.52.30.233 W121.59.13.147 N047.52.26.086 W121.59.09.844 RVM
                          N047.52.26.086 W121.59.09.844 N047.52.21.587 W121.59.07.810 RVM
                          N047.52.21.587 W121.59.07.810 N047.52.16.907 W121.59.07.124 RVM
                          N047.52.16.907 W121.59.07.124 N047.52.12.229 W121.59.07.812 RVM
                          N047.52.12.229 W121.59.07.812 N047.52.07.729 W121.59.09.847 RVM
                          N047.52.07.729 W121.59.09.847 N047.52.03.583 W121.59.13.152 RVM
                          N047.52.03.583 W121.59.13.152 N047.51.59.949 W121.59.17.598 RVM
                          N047.51.59.949 W121.59.17.598 N047.51.56.967 W121.59.23.016 RVM
                          N047.51.56.967 W121.59.23.016 N047.51.54.751 W121.59.29.197 RVM
                          N047.51.54.751 W121.59.29.197 N047.51.53.386 W121.59.35.904 RVM
                          N047.51.53.386 W121.59.35.904 N047.51.52.925 W121.59.42.878 RVM
                          N047.51.52.925 W121.59.42.878 N047.51.53.386 W121.59.49.852 RVM
                          N047.51.53.386 W121.59.49.852 N047.51.54.751 W121.59.56.559 RVM
                          N047.51.54.751 W121.59.56.559 N047.51.56.967 W122.00.02.740 RVM
                          N047.51.56.967 W122.00.02.740 N047.51.59.949 W122.00.08.158 RVM
                          N047.51.59.949 W122.00.08.158 N047.52.03.583 W122.00.12.604 RVM
                          N047.52.03.583 W122.00.12.604 N047.52.07.729 W122.00.15.909 RVM
                          N047.52.07.729 W122.00.15.909 N047.52.12.229 W122.00.17.944 RVM
                          N047.52.12.229 W122.00.17.944 N047.52.16.907 W122.00.18.632 RVM
                          N047.52.16.907 W122.00.18.632 N047.52.21.587 W122.00.17.946 RVM
                          N047.52.21.587 W122.00.17.946 N047.52.26.086 W122.00.15.912 RVM
                          N047.52.26.086 W122.00.15.912 N047.52.30.233 W122.00.12.609 RVM
                          N047.52.30.233 W122.00.12.609 N047.52.33.867 W122.00.08.162 RVM
                          N047.52.33.867 W122.00.08.162 N047.52.36.850 W122.00.02.744 RVM
                          N047.52.36.850 W122.00.02.744 N047.52.39.067 W121.59.56.562 RVM
                          N047.52.39.067 W121.59.56.562 N047.52.40.432 W121.59.49.854 RVM
                          N047.52.40.432 W121.59.49.854 N047.52.40.893 W121.59.42.878 RVM
                          N047.52.40.893 W121.59.42.878 N047.52.52.885 W121.59.42.878 RVM
                          N047.52.16.907 W121.59.07.124 N047.52.16.906 W121.58.49.247 RVM
                          N047.51.52.925 W121.59.42.878 N047.51.40.933 W121.59.42.878 RVM
                          N047.52.16.907 W122.00.18.632 N047.52.16.906 W122.00.36.509 RVM
    ; W28
                          N048.06.17.316 W123.11.13.644 N048.06.16.855 W123.11.06.637 RVM
