((EUG-APP))               N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N043.45.22.768 W122.29.41.576 N043.45.18.621 W122.29.38.508 RVM 
                          N043.45.18.621 W122.29.38.508 N043.45.14.122 W122.29.36.619 RVM 
                          N043.45.14.122 W122.29.36.619 N043.45.09.443 W122.29.35.982 RVM 
                          N043.45.09.443 W122.29.35.982 N043.45.04.764 W122.29.36.620 RVM 
                          N043.45.04.764 W122.29.36.620 N043.45.00.265 W122.29.38.510 RVM 
                          N043.45.00.265 W122.29.38.510 N043.44.56.118 W122.29.41.579 RVM 
                          N043.44.56.118 W122.29.41.579 N043.44.52.484 W122.29.45.709 RVM 
                          N043.44.52.484 W122.29.45.709 N043.44.49.502 W122.29.50.740 RVM 
                          N043.44.49.502 W122.29.50.740 N043.44.47.286 W122.29.56.480 RVM 
                          N043.44.47.286 W122.29.56.480 N043.44.45.921 W122.30.02.708 RVM 
                          N043.44.45.921 W122.30.02.708 N043.44.45.460 W122.30.09.185 RVM 
                          N043.44.45.460 W122.30.09.185 N043.44.45.921 W122.30.15.662 RVM 
                          N043.44.45.921 W122.30.15.662 N043.44.47.286 W122.30.21.890 RVM 
                          N043.44.47.286 W122.30.21.890 N043.44.49.502 W122.30.27.630 RVM 
                          N043.44.49.502 W122.30.27.630 N043.44.52.484 W122.30.32.661 RVM 
                          N043.44.52.484 W122.30.32.661 N043.44.56.118 W122.30.36.791 RVM 
                          N043.44.56.118 W122.30.36.791 N043.45.00.265 W122.30.39.860 RVM 
                          N043.45.00.265 W122.30.39.860 N043.45.04.764 W122.30.41.750 RVM 
                          N043.45.04.764 W122.30.41.750 N043.45.09.443 W122.30.42.388 RVM 
                          N043.45.09.443 W122.30.42.388 N043.45.14.122 W122.30.41.751 RVM 
                          N043.45.14.122 W122.30.41.751 N043.45.18.621 W122.30.39.862 RVM 
                          N043.45.18.621 W122.30.39.862 N043.45.22.768 W122.30.36.794 RVM 
                          N043.45.22.768 W122.30.36.794 N043.45.26.402 W122.30.32.665 RVM 
                          N043.45.26.402 W122.30.32.665 N043.45.29.385 W122.30.27.633 RVM 
                          N043.45.29.385 W122.30.27.633 N043.45.31.602 W122.30.21.893 RVM 
                          N043.45.31.602 W122.30.21.893 N043.45.32.967 W122.30.15.663 RVM 
