                          N041.01.34.149 W124.02.50.972 N041.01.31.209 W124.02.47.027 classEsfc
                          N041.01.31.209 W124.02.47.027 N041.01.28.218 W124.02.43.151 classEsfc
                          N041.01.28.218 W124.02.43.151 N041.01.25.176 W124.02.39.344 classEsfc
                          N041.01.25.176 W124.02.39.344 N041.01.22.084 W124.02.35.609 classEsfc
                          N041.01.22.084 W124.02.35.609 N041.01.18.943 W124.02.31.945 classEsfc
                          N041.01.18.943 W124.02.31.945 N041.01.15.755 W124.02.28.354 classEsfc
                          N041.01.15.755 W124.02.28.354 N041.01.12.519 W124.02.24.837 classEsfc
                          N041.01.12.519 W124.02.24.837 N041.01.09.237 W124.02.21.395 classEsfc
                          N041.01.09.237 W124.02.21.395 N041.01.05.910 W124.02.18.030 classEsfc
                          N041.01.05.910 W124.02.18.030 N041.01.02.539 W124.02.14.742 classEsfc
                          N041.01.02.539 W124.02.14.742 N041.00.59.126 W124.02.11.532 classEsfc
                          N041.00.59.126 W124.02.11.532 N041.00.55.670 W124.02.08.402 classEsfc
                          N041.00.55.670 W124.02.08.402 N041.00.52.173 W124.02.05.351 classEsfc
                          N041.00.52.173 W124.02.05.351 N041.00.48.637 W124.02.02.382 classEsfc
                          N041.00.48.637 W124.02.02.382 N041.00.45.062 W124.01.59.495 classEsfc
                          N041.00.45.062 W124.01.59.495 N041.00.41.449 W124.01.56.690 classEsfc
                          N041.00.41.449 W124.01.56.690 N041.00.37.800 W124.01.53.970 classEsfc
                          N041.00.37.800 W124.01.53.970 N041.00.34.115 W124.01.51.333 classEsfc
                          N041.00.34.115 W124.01.51.333 N041.00.30.396 W124.01.48.783 classEsfc
                          N041.00.30.396 W124.01.48.783 N041.00.26.644 W124.01.46.318 classEsfc
                          N041.00.26.644 W124.01.46.318 N041.00.22.860 W124.01.43.941 classEsfc
                          N041.00.22.860 W124.01.43.941 N041.00.19.045 W124.01.41.650 classEsfc
                          N041.00.19.045 W124.01.41.650 N041.00.15.200 W124.01.39.449 classEsfc
                          N041.00.15.200 W124.01.39.449 N041.00.11.326 W124.01.37.336 classEsfc
                          N041.00.11.326 W124.01.37.336 N041.00.07.426 W124.01.35.313 classEsfc
                          N041.00.07.426 W124.01.35.313 N041.00.03.499 W124.01.33.380 classEsfc
                          N041.00.03.499 W124.01.33.380 N040.59.59.547 W124.01.31.538 classEsfc
                          N040.59.59.547 W124.01.31.538 N040.59.55.571 W124.01.29.787 classEsfc
                          N040.59.55.571 W124.01.29.787 N040.59.51.573 W124.01.28.128 classEsfc
                          N040.59.51.573 W124.01.28.128 N040.59.47.554 W124.01.26.562 classEsfc
                          N040.59.47.554 W124.01.26.562 N040.59.43.514 W124.01.25.088 classEsfc
                          N040.59.43.514 W124.01.25.088 N040.59.39.456 W124.01.23.708 classEsfc
                          N040.59.39.456 W124.01.23.708 N040.59.35.380 W124.01.22.421 classEsfc
                          N040.59.35.380 W124.01.22.421 N040.59.31.287 W124.01.21.229 classEsfc
                          N040.59.31.287 W124.01.21.229 N040.59.27.180 W124.01.20.131 classEsfc
                          N040.59.27.180 W124.01.20.131 N040.59.23.058 W124.01.19.128 classEsfc
                          N040.59.23.058 W124.01.19.128 N040.59.18.924 W124.01.18.220 classEsfc
                          N040.59.18.924 W124.01.18.220 N040.59.14.779 W124.01.17.407 classEsfc
                          N040.59.14.779 W124.01.17.407 N040.59.10.623 W124.01.16.690 classEsfc
                          N040.59.10.623 W124.01.16.690 N040.59.06.458 W124.01.16.069 classEsfc
                          N040.59.06.458 W124.01.16.069 N040.59.02.286 W124.01.15.544 classEsfc
                          N040.59.02.286 W124.01.15.544 N040.58.58.108 W124.01.15.115 classEsfc
                          N040.58.58.108 W124.01.15.115 N040.58.53.925 W124.01.14.782 classEsfc
                          N040.58.53.925 W124.01.14.782 N040.58.49.737 W124.01.14.546 classEsfc
                          N040.58.49.737 W124.01.14.546 N040.58.45.548 W124.01.14.406 classEsfc
                          N040.58.45.548 W124.01.14.406 N040.58.41.357 W124.01.14.363 classEsfc
